rapla maakond,1053.43333333,2004
rapla vald,1053.43333333,2004
saare maakond,733.866666667,2004
kaarma vald,373.8,2004
pihtla vald,1454.0,2004
tartu maakond,615.563636364,2004
tartu linn,889.2,2004
alatskivi vald,190.0,2004
tartu vald,631.95,2004
ülenurme vald,121.9,2004
valga maakond,1024.16666667,2004
valga linn,526.8,2004
helme vald,1909.0,2004
otepää vald,636.7,2004
viljandi maakond,1655.5625,2004
viljandi linn,502.55,2004
karksi vald,2971.7,2004
saarepeedi vald,1096.0,2004
viiratsi vald,1733.33333333,2004
võru maakond,740.9,2004
võru linn,369.7,2004
antsla vald,1845.9,2004
sõmerpalu vald,618.5,2004
võru vald,251.9,2004
whole country,1573.43768116,2005
northern estonia,1999.51111111,2005
central estonia,2748.175,2005
northeastern estonia,1088.5,2005
western estonia,2738.7375,2005
southern estonia,555.833333333,2005
harju maakond,1999.51111111,2005
loksa linn,2133.3,2005
maardu linn,322.8,2005
saue linn,2166.6,2005
tallinn,4838.46666667,2005
anija vald,66.0,2005
harku vald,1804.8,2005
kose vald,4718.0,2005
rae vald,1639.825,2005
viimsi vald,627.3,2005
ida-viru maakond,1088.5,2005
jõhvi vald,1088.5,2005
jõgeva maakond,410.3,2005
jõgeva vald,410.3,2005
järva maakond,3369.36666667,2005
imavere vald,3369.36666667,2005
põlva maakond,424.575,2005
põlva linn,144.7,2005
räpina vald,517.866666667,2005
pärnu maakond,3046.5,2005
pärnu linn,8602.7,2005
are vald,929.2,2005
kaisma vald,124.3,2005
lavassaare vald,723.1,2005
paikuse vald,2526.2,2005
sauga vald,127.925,2005
tahkuranna vald,899.5,2005
rapla maakond,884.6,2005
rapla vald,884.6,2005
saare maakond,584.4,2005
kaarma vald,531.8,2005
valjala vald,637.0,2005
tartu maakond,994.05,2005
elva linn,482.0,2005
tartu linn,1355.8,2005
luunja vald,1923.9,2005
tartu vald,1009.7,2005
võnnu vald,543.6,2005
ülenurme vald,813.85,2005
valga maakond,394.75,2005
helme vald,72.225,2005
otepää vald,371.1,2005
sangaste vald,1063.45,2005
viljandi maakond,267.5,2005
viljandi linn,15.0,2005
karksi vald,520.0,2005
võru maakond,417.285714286,2005
varstu vald,218.94,2005
võru vald,913.15,2005
whole country,2434.59733333,2006
northern estonia,4902.83333333,2006
central estonia,2072.0,2006
northeastern estonia,207.54,2006
western estonia,2801.25,2006
southern estonia,1634.016,2006
harju maakond,4902.83333333,2006
maardu linn,4111.3,2006
saue linn,2363.25,2006
tallinn,4131.93333333,2006
harku vald,4026.0,2006
kernu vald,734.4,2006
rae vald,2715.32,2006
saue vald,4414.83333333,2006
vasalemma vald,834.3,2006
viimsi vald,34601.6,2006
hiiu maakond,1293.6,2006
kärdla linn,1293.6,2006
ida-viru maakond,207.54,2006
narva linn,169.65,2006
jõhvi vald,121.8,2006
mäetaguse vald,67.0,2006
